number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
0,0.22090068966279985,2021-12-18 01:29:40.538624,2021-12-18 01:30:57.685515,0 days 00:01:17.146891,0.5506357687071174,0.44916723157212357,0.9038462461088158,COMPLETE
1,0.21322831359616753,2021-12-18 01:30:57.687832,2021-12-18 01:32:18.791893,0 days 00:01:21.104061,0.27544389321144563,0.3875612250831415,0.5367071340165587,COMPLETE
2,0.21671873578050177,2021-12-18 01:32:18.793500,2021-12-18 01:33:39.279775,0 days 00:01:20.486275,0.32511210624406484,0.683759469261116,0.5028369116109094,COMPLETE
3,0.22450835184265638,2021-12-18 01:33:39.295042,2021-12-18 01:35:01.432257,0 days 00:01:22.137215,0.5363211459912467,0.8546406621078116,0.2793382292074663,COMPLETE
4,0.15681482605126607,2021-12-18 01:35:01.434168,2021-12-18 01:36:26.584865,0 days 00:01:25.150697,0.031218345623328567,0.4909171183426203,0.3145042604043132,COMPLETE
5,0.22333744983514764,2021-12-18 01:36:26.586354,2021-12-18 01:37:49.291522,0 days 00:01:22.705168,0.6039487844769076,0.7347701141681062,0.2099809242474469,COMPLETE
6,0.2217877084803802,2021-12-18 01:37:49.300559,2021-12-18 01:39:12.254467,0 days 00:01:22.953908,0.5854388843684509,0.5195664582622521,0.00837858715701191,COMPLETE
7,0.20426593093355455,2021-12-18 01:39:12.256039,2021-12-18 01:40:34.047879,0 days 00:01:21.791840,0.20786787954496774,0.20597139161863753,0.0252170887334366,COMPLETE
8,0.17929742464384252,2021-12-18 01:40:34.049523,2021-12-18 01:41:54.497952,0 days 00:01:20.448429,0.8905600491246468,0.3886627757491794,0.8823880005768898,COMPLETE
9,0.21130580667031937,2021-12-18 01:41:54.508040,2021-12-18 01:43:14.357689,0 days 00:01:19.849649,0.7281929292602362,0.11181691316331077,0.7984499555852708,COMPLETE
10,0.10664569580656043,2021-12-18 01:43:14.359729,2021-12-18 01:44:33.539525,0 days 00:01:19.179796,0.9874770881140438,0.9867794220702977,0.3249568703522875,COMPLETE
11,0.21404173537381485,2021-12-18 01:44:33.541014,2021-12-18 01:45:55.072613,0 days 00:01:21.531599,0.7263335045283389,0.8793917151799981,0.23621265093535362,COMPLETE
12,0.22169734718854792,2021-12-18 01:45:55.081444,2021-12-18 01:47:14.635730,0 days 00:01:19.554286,0.4120373598487862,0.7553131814989499,0.18361225258036168,COMPLETE
13,0.22319055623240963,2021-12-18 01:47:14.637154,2021-12-18 01:48:35.999814,0 days 00:01:21.362660,0.6044489059479083,0.7059544207182009,0.6313384297505156,COMPLETE
14,0.2089600877417116,2021-12-18 01:48:36.001243,2021-12-18 01:49:57.791040,0 days 00:01:21.789797,0.765682104700975,0.8923729561956789,0.15574033122439623,COMPLETE
15,0.22336621685723637,2021-12-18 01:49:57.799879,2021-12-18 01:51:18.588944,0 days 00:01:20.789065,0.45401572739256574,0.6211871918158651,0.349099073021988,COMPLETE
16,0.22331549455254543,2021-12-18 01:51:18.591455,2021-12-18 01:52:40.722215,0 days 00:01:22.130760,0.4503059660358929,0.5787121934902215,0.3894808051826252,COMPLETE
17,0.18981582682713805,2021-12-18 01:52:40.723913,2021-12-18 01:54:01.724452,0 days 00:01:21.000539,0.12547292963337148,0.8534040621721899,0.6712681728981786,COMPLETE
18,0.22044668598590056,2021-12-18 01:54:01.735004,2021-12-18 01:55:25.790315,0 days 00:01:24.055311,0.3798606153552551,0.9971376555003479,0.43257449564821854,COMPLETE
19,0.2237479271069805,2021-12-18 01:55:25.792003,2021-12-18 01:56:46.683943,0 days 00:01:20.891940,0.4869737734774299,0.6122596746009253,0.613029729301946,COMPLETE
20,0.22033690703869435,2021-12-18 01:56:46.685624,2021-12-18 01:58:06.292347,0 days 00:01:19.606723,0.6752668819620152,0.3198577782407377,0.7009646061100825,COMPLETE
21,0.2233186492539682,2021-12-18 01:58:06.301984,2021-12-18 01:59:25.050233,0 days 00:01:18.748249,0.4822173279375794,0.6124352948397758,0.5748165954227245,COMPLETE
22,0.22424938068740483,2021-12-18 01:59:25.051971,2021-12-18 02:00:48.007950,0 days 00:01:22.955979,0.5028818269817195,0.6381702487192561,0.4180961709199162,COMPLETE
23,0.2247122565636842,2021-12-18 02:00:48.009806,2021-12-18 02:02:10.842623,0 days 00:01:22.832817,0.548640376280809,0.7893962835178895,0.4618133944108094,COMPLETE
