number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
0,0.18140457010400154,2021-12-16 20:15:44.453990,2021-12-16 20:16:49.711989,0 days 00:01:05.257999,0.8119434444514433,0.21855375852900616,0.5272908605905985,COMPLETE
1,0.15055493551866012,2021-12-16 20:16:49.720432,2021-12-16 20:17:52.850708,0 days 00:01:03.130276,0.04418531697057585,0.8220205647451149,0.6087342302916572,COMPLETE
2,0.170056480665578,2021-12-16 20:17:52.858819,2021-12-16 20:18:55.347254,0 days 00:01:02.488435,0.8582075332857868,0.1530473015043179,0.8200831937221438,COMPLETE
3,0.17659060437678437,2021-12-16 20:18:55.356370,2021-12-16 20:20:00.300685,0 days 00:01:04.944315,0.13172228281002202,0.40616947074647536,0.6715712115189715,COMPLETE
4,0.20199924236819583,2021-12-16 20:20:00.310676,2021-12-16 20:21:02.653618,0 days 00:01:02.342942,0.5542895017627486,0.9240037669685937,0.9165531947970411,COMPLETE
5,0.1838507957539407,2021-12-16 20:21:02.662004,2021-12-16 20:22:03.309670,0 days 00:01:00.647666,0.7728548167036444,0.29906087971847417,0.9642596762735464,COMPLETE
6,0.17394212328163944,2021-12-16 20:22:03.320930,2021-12-16 20:23:07.831017,0 days 00:01:04.510087,0.11789961558452602,0.2831882319174478,0.5369361485085311,COMPLETE
7,0.18941641051540373,2021-12-16 20:23:07.839845,2021-12-16 20:24:10.797497,0 days 00:01:02.957652,0.7420330931246362,0.5552893324105118,0.2791983499099741,COMPLETE
8,0.19426926423675653,2021-12-16 20:24:10.806033,2021-12-16 20:25:13.700115,0 days 00:01:02.894082,0.6809775313115182,0.9197647219158446,0.9589334029994535,COMPLETE
9,0.18720053107301163,2021-12-16 20:25:13.717483,2021-12-16 20:26:18.285286,0 days 00:01:04.567803,0.20427998923571977,0.8940417177857447,0.3081336792375517,COMPLETE
10,0.19986550563303498,2021-12-16 20:26:18.295110,2021-12-16 20:27:23.933272,0 days 00:01:05.638162,0.42134067722025026,0.6811153242719927,0.08059009995111349,COMPLETE
11,0.19876250977565404,2021-12-16 20:27:23.948531,2021-12-16 20:28:29.537985,0 days 00:01:05.589454,0.4340121689998955,0.6456466076369468,0.023447578781721462,COMPLETE
12,0.19841088527165995,2021-12-16 20:28:29.547163,2021-12-16 20:29:34.252251,0 days 00:01:04.705088,0.4616191182583238,0.724710321093642,0.009928481074958487,COMPLETE
13,0.1980626579703937,2021-12-16 20:29:34.268849,2021-12-16 20:30:40.168630,0 days 00:01:05.899781,0.3288538162148214,0.9980713158083316,0.22873457397432811,COMPLETE
14,0.20216556171365796,2021-12-16 20:30:40.177204,2021-12-16 20:31:42.880259,0 days 00:01:02.703055,0.5729834941642332,0.6900217149450496,0.7596002492999709,COMPLETE
15,0.20156102598835454,2021-12-16 20:31:42.886773,2021-12-16 20:32:48.228354,0 days 00:01:05.341581,0.5919910249755377,0.789327528890582,0.7711521693295912,COMPLETE
16,0.1921861001292009,2021-12-16 20:32:48.237326,2021-12-16 20:33:50.832078,0 days 00:01:02.594752,0.6000035115690983,0.036601428133359315,0.8413818680680907,COMPLETE
17,0.12173638560791597,2021-12-16 20:33:50.846122,2021-12-16 20:34:55.465979,0 days 00:01:04.619857,0.9635359808041715,0.53158171422253,0.7093591370417898,COMPLETE
18,0.19705165247914216,2021-12-16 20:34:55.477693,2021-12-16 20:35:59.543796,0 days 00:01:04.066103,0.3016944957030857,0.9934500049722921,0.892758548075471,COMPLETE
19,0.20211297729111413,2021-12-16 20:35:59.553258,2021-12-16 20:37:03.650342,0 days 00:01:04.097084,0.556924297361894,0.5915781390675376,0.3900062923723654,COMPLETE
20,0.20168395323987737,2021-12-16 20:37:03.659564,2021-12-16 20:38:09.474914,0 days 00:01:05.815350,0.36379432321990424,0.43979807872154636,0.399557337318048,COMPLETE
21,0.20201607632837998,2021-12-16 20:38:09.485970,2021-12-16 20:39:16.296304,0 days 00:01:06.810334,0.5576368568086787,0.6020760843955204,0.3774651446292237,COMPLETE
22,0.19830420941444635,2021-12-16 20:39:16.308545,2021-12-16 20:40:22.315617,0 days 00:01:06.007072,0.6491274716522876,0.5974206207674106,0.4233310327353187,COMPLETE
23,0.2017023026727871,2021-12-16 20:40:22.324782,2021-12-16 20:41:28.217495,0 days 00:01:05.892713,0.5230409587126481,0.45642565948821223,0.17640487986655218,COMPLETE
24,0.19659519740138373,2021-12-16 20:41:28.227783,2021-12-16 20:42:35.769744,0 days 00:01:07.541961,0.6843146223617622,0.7359521990347417,0.4149856829199863,COMPLETE
25,0.20220531585228846,2021-12-16 20:42:35.778299,2021-12-16 20:43:43.835120,0 days 00:01:08.056821,0.5222169964067219,0.6186944281708815,0.33256528087918835,COMPLETE
26,0.20361943673628088,2021-12-16 20:43:43.846423,2021-12-16 20:44:49.759895,0 days 00:01:05.913472,0.4983694369527609,0.36388730270976255,0.602670609559937,COMPLETE
27,0.1972957166952178,2021-12-16 20:44:49.769009,2021-12-16 20:45:55.511682,0 days 00:01:05.742673,0.28622528169478845,0.32686036989965256,0.6170176878274509,COMPLETE
28,0.20332190845091574,2021-12-16 20:45:55.521071,2021-12-16 20:47:01.096057,0 days 00:01:05.574986,0.3922313587354041,0.3722543453105505,0.7339165829246835,COMPLETE
29,0.20340359677080264,2021-12-16 20:47:01.106047,2021-12-16 20:48:06.213840,0 days 00:01:05.107793,0.38181279154064307,0.19031470988479515,0.5112413288381855,COMPLETE
30,0.1920717764798826,2021-12-16 20:48:06.223665,2021-12-16 20:49:12.169274,0 days 00:01:05.945609,0.22051100052205214,0.1717727310884961,0.5018316784190036,COMPLETE
31,0.20266659618007815,2021-12-16 20:49:12.181343,2021-12-16 20:50:17.388190,0 days 00:01:05.206847,0.38162142022413625,0.37399967086526,0.5727659522182109,COMPLETE
32,0.2031246973413431,2021-12-16 20:50:17.398385,2021-12-16 20:51:21.171424,0 days 00:01:03.773039,0.3908853589641965,0.371610462827598,0.5741818991526909,COMPLETE
33,0.19548717201622484,2021-12-16 20:51:21.185321,2021-12-16 20:52:27.549320,0 days 00:01:06.363999,0.25558686202555914,0.22198335625208404,0.6416452684491851,COMPLETE
34,0.19536078489197825,2021-12-16 20:52:27.561589,2021-12-16 20:53:29.947750,0 days 00:01:02.386161,0.4776510654080826,0.03964938317092076,0.4771348819953454,COMPLETE
35,0.20145113826321714,2021-12-16 20:53:29.958696,2021-12-16 20:54:36.111439,0 days 00:01:06.152743,0.3856150568886675,0.1245389446226696,0.687209536035651,COMPLETE
36,0.2014879916986346,2021-12-16 20:54:36.120576,2021-12-16 20:55:41.765705,0 days 00:01:05.645129,0.3379810191107488,0.24203972159734052,0.5496082298488068,COMPLETE
37,0.17585402280560897,2021-12-16 20:55:41.775172,2021-12-16 20:56:45.517991,0 days 00:01:03.742819,0.12848608559095914,0.379272726924893,0.7380227696949849,COMPLETE
38,0.15593912671626617,2021-12-16 20:56:45.527408,2021-12-16 20:57:54.304990,0 days 00:01:08.777582,0.05739371679426941,0.4822470281773221,0.602906834706559,COMPLETE
39,0.20460041412632307,2021-12-16 20:57:54.318186,2021-12-16 20:59:06.847740,0 days 00:01:12.529554,0.4265858272858882,0.3262997226554263,0.4922923507868393,COMPLETE
