number,value,datetime_start,datetime_complete,duration,params_mask_thr,params_nms_thr,params_score_thr,state
0,0.1285859305423651,2021-12-15 21:52:38.833962,2021-12-15 22:05:50.098561,0 days 00:13:11.264599,0.132472957626033,0.3322634235801627,0.5439399143148015,COMPLETE
1,0.11662668916484098,2021-12-15 22:05:50.100496,2021-12-15 22:16:27.608289,0 days 00:10:37.507793,0.07335785293822991,0.6465233343400778,0.4836321554376728,COMPLETE
2,0.15724892777016652,2021-12-15 22:16:27.610352,2021-12-15 22:26:58.078559,0 days 00:10:30.468207,0.8670462786362324,0.2737388805086596,0.09690317755868512,COMPLETE
3,0.1277165501193095,2021-12-15 22:26:58.081299,2021-12-15 22:37:32.347165,0 days 00:10:34.265866,0.1284336045746042,0.21116106356023756,0.5290235718948203,COMPLETE
4,0.1531971981670541,2021-12-15 22:37:32.358976,2021-12-15 22:47:18.217412,0 days 00:09:45.858436,0.3165899472164447,0.08283338077769031,0.9228126072153007,COMPLETE
5,0.11210914923200294,2021-12-15 22:47:18.219267,2021-12-15 22:56:32.700290,0 days 00:09:14.481023,0.9699632283481562,0.0029721908377350337,0.5735857402298292,COMPLETE
6,0.15590630182929424,2021-12-15 22:56:32.702303,2021-12-15 23:07:09.382699,0 days 00:10:36.680396,0.3190029653129357,0.49789619798379503,0.888645127530608,COMPLETE
7,0.1479385000026143,2021-12-15 23:07:09.384613,2021-12-15 23:16:52.956091,0 days 00:09:43.571478,0.28809495821182013,0.028532711838025415,0.7189227023593275,COMPLETE
8,0.17385420649134997,2021-12-15 23:16:52.966564,2021-12-15 23:27:31.674903,0 days 00:10:38.708339,0.5894553905625741,0.9545105872541748,0.5067796563265287,COMPLETE
9,0.10477159207430257,2021-12-15 23:27:31.676814,2021-12-15 23:37:53.993918,0 days 00:10:22.317104,0.029059807277020715,0.8403147121010451,0.9426167582783906,COMPLETE
10,0.17318433343873862,2021-12-15 23:37:53.995734,2021-12-15 23:48:35.597154,0 days 00:10:41.601420,0.7006309181230028,0.9887291281624055,0.2258536978600149,COMPLETE
11,0.17383501941874574,2021-12-15 23:48:35.598794,2021-12-15 23:59:15.861439,0 days 00:10:40.262645,0.6705896843223919,0.9978479757404173,0.22417979934646443,COMPLETE
12,0.1739201199239794,2021-12-15 23:59:15.880146,2021-12-16 00:10:02.448316,0 days 00:10:46.568170,0.6048343468874852,0.9836752540408644,0.33491814895982974,COMPLETE
13,0.17337783238712004,2021-12-16 00:10:02.450215,2021-12-16 00:20:48.939097,0 days 00:10:46.488882,0.5797009653181917,0.790089177543734,0.3539693481634981,COMPLETE
14,0.1689478609194644,2021-12-16 00:20:48.941589,2021-12-16 00:31:34.414947,0 days 00:10:45.473358,0.4749796774285601,0.8163467360698362,0.3542525674306751,COMPLETE
15,0.16801748411506032,2021-12-16 00:31:34.416952,2021-12-16 00:42:14.249996,0 days 00:10:39.833044,0.4530624160548855,0.6579151795024484,0.6899329484265591,COMPLETE
16,0.17015670122544352,2021-12-16 00:42:14.259436,2021-12-16 00:53:00.726698,0 days 00:10:46.467262,0.7736331575491493,0.8938643643467845,0.40623352571680593,COMPLETE
